title,author,source,description,content,pub_date,url,photo_url
California’s Power Shutoffs Might Prevent Wildfires. But Are They Worth the Risks?,Tara Law,Time,Hundreds of thousands of Californians went without power this week in yet another planned blackout meant to prevent a wildfire.,Hundreds of thousands of Californians went without power this week in yet another planned blackout meant to prevent electrical equipment from sparking a potentially massive and destructive blaze. But as residents wonder if scheduled power outages will be thei… [+4299 chars],2019-10-25,https://time.com/5710169/california-power-wildfires-pge/,https://timedotcom.files.wordpress.com/2019/10/california-wildfire-power-outages.jpg?quality=85&w=1024&h=577&crop=1
"New evacuations, power outages near California wildfire",DAISY NGUYEN and CHRISTOPHER WEBER,Yahoo.com,"Authorities ordered at least 50,000 residents to evacuate towns near a massive Northern California wildfire Saturday, and the state's largest utility announced power shut-offs for an estimated 2.35 million people due to forecasts of severe winds and extreme f…","SAN FRANCISCO (AP) Authorities ordered at least 50,000 residents to evacuate towns near a massive Northern California wildfire Saturday, and the state's largest utility announced power shut-offs for an estimated 2.35 million people due to forecasts of severe … [+6535 chars]",2019-10-26,https://news.yahoo.com/millions-california-facing-more-blackouts-054213084.html,https://s.yimg.com/ny/api/res/1.2/_W.qdlIzxieQsbdbM7BzqA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/C565Ab7b7nbUTaizhYUJLQ--~B/aD01NTA0O3c9ODI1NjtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/eda6b028c9c3fd18671f9344d4375050
PHOTOS: Wildfire rages in Northern California,Yahoo News Photo Staff,Yahoo.com,A Northern California wildfire exploded in size early Thursday as dangerously windy weather prompted the state's largest utility to impose electrical blackouts in an effort to prevent fire catastrophes.,"Flames consume a home as the Kincade Fire tears through the Jimtown community of Sonoma County, Calif., on Thursday, Oct. 24, 2019. (Photo: Noah Berger/AP)
SAN FRANCISCO (AP) A Northern California wildfire exploded in size early Thursday as dangerously windy… [+4087 chars]",2019-10-24,https://news.yahoo.com/wildfire-rages-in-northern-california-144805570.html,https://s.yimg.com/ny/api/res/1.2/0JMwiJKdfufhUVaFBVIBeA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/ME2Dm3EiU8En4qO4cbuAig--~B/aD0zMDUzO3c9NDU3OTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2019-10/06446fc0-f66c-11e9-857a-6799e618a801
Video shows the moment California's Kincade Fire sparked and spread to a massive blaze in moments,"acollman@businessinsider.com (Ashley Collman), Ashley Collman",Insider.com,"nvseismolab/YouTube Newly released video shows the moment California's Kincade fire was sparked. The fire started Wednesday night, and may have been caused by a malfunctioning PG & E electrical line, though that is not official yet. As of Friday, the fire had…","A new video shows the moment that California's Kincade fire broke out Wednesday night, and quickly spread to a raging wildfire.
The video was recorded by the ALERT wildfire system, a network of cameras organized by three universities, with funding from Calif… [+1349 chars]",2019-10-26,https://www.insider.com/california-kincade-fire-video-shows-the-moment-broke-out-2019-10,https://image.businessinsider.com/5db45d83e94e8650090650f2?width=1200&format=jpeg
California Fires Update: Thousands of Homes Threatened,Tim Arango and Thomas Fuller,The New York Times,The Tick Fire is one of a dozen fires in the state propelled by strong winds.,"Pacific Gas &amp; Electric said it was investigating whether its equipment had been involved in stoking the Kincade Fire. PG&amp;E said it had become aware that a transmission-level outage occurred in the area around the time the fire began. 
By early Friday… [+1091 chars]",2019-10-25,https://www.nytimes.com/2019/10/25/us/santa-clarita-fire-sonoma-california.html,https://static01.nyt.com/images/2019/10/25/us/25fire-01/25fire-01-facebookJumbo.jpg
California power blackouts start again to avoid sparking fires,Mark Kaufman,Mashable,"The blackouts are back. PG&E, California's largest utility, announced Wednesday it would intentionally cut power to 179,000 ""customers"" (likely over 400,000 people) across 17 counties to avoid the possibility of sparking wildfires as notoriously potent winds …","The blackouts are back. 
PG&amp;E, California's largest utility, announced Wednesday it would intentionally cut power to 179,000 ""customers"" (likely over 400,000 people) across 17 counties to avoid the possibility of sparking wildfires as notoriously potent … [+3631 chars]",2019-10-23,https://mashable.com/article/california-power-blackouts-pg-e/,https://mondrian.mashable.com/2019%252F10%252F23%252Fe9%252Fd56ea724dbe04e76a344b13de9d50830.017d7.jpg%252F1200x630.jpg?signature=tFZ3qmAJQAJjg0zJyllBaKhLj4E=
Northern California wildfire 5% contained,"AP Domestic, AP",USA Today,"In Northern California wine country, authorities ordered 2,000 people to evacuate as a wildfire burned 49 buildings and exploded to 25 square miles. Authorities said on Thursday night that the fire is 5% contained. (Oct. 25)",,2019-10-25,https://www.usatoday.com/videos/news/nation/2019/10/25/northern-california-wildfire-5-contained/4094828002/,https://www.gannett-cdn.com/authoring/video-thumbnails/5b0da21f-0ee6-4b59-8c81-0f9837f44370_poster.jpg
Time-lapse shows Kincade wildfire,"Storyful, Storyful",USA Today,"Mandatory evacuations have been ordered in parts of Sonoma county, California as the Kincade fire continues to burn thousands of acres.",,2019-10-24,https://www.usatoday.com/videos/news/weather/2019/10/24/time-lapse-sonoma-wildfire-ignites-during-blackout/4081855002/,https://www.gannett-cdn.com/presto/2019/10/24/USAT/018afd35-26ce-44c9-89aa-741030bf7c88-VPC_CA_WILDFIRE_SONOMA_WIDE_ALERTWildFire__Nevada_Seismological_Laboratory_via_Storyful.jpg
A Twin Threat as Fires Burn Across California,Inyoung Kang,The New York Times,"Friday: PG&E warns of more power outages as hot, windy conditions continue into the weekend. Also: Representative Katie Hill threatens legal action.","Good morning.
(If you dont already get California Today by email, heres the sign-up.)
In three days, 600 fires have ignited across California as high winds and mandatory evacuations have forced dozens of residents from their homes. The Kincade Fire, the lar… [+1410 chars]",2019-10-25,https://www.nytimes.com/2019/10/25/us/kincade-fire-sonoma-santa-clarita.html,https://static01.nyt.com/images/2019/10/24/climate/25californiatoday/25californiatoday-facebookJumbo-v2.jpg
"A wildfire in California's Sonoma County has burned nearly 22,000 acres. Across the state, more than 40,000 people have fled their homes.",Aylin Woodward,Yahoo.com,"A wildfire ignited late Wednesday night in Sonoma County, California. The quick-moving blaze has spread across 21,900 acres, fueled by high winds.","Kincaid Fire
Noah Berger/AP
<ul><li>A wildfire that ignited in Sonoma County, California on Wednesday night dubbed the Kincade Fire has spread across 21,900 acres.
</li><li>Another blaze, the Tick Fire, has burned through 4,300 acres in Los Angeles County.… [+6965 chars]",2019-10-25,https://news.yahoo.com/wildfire-californias-sonoma-county-burned-181800816.html,https://s.yimg.com/ny/api/res/1.2/0i5KiNAxSZlhMHrp39KI7Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/xTGssHNNAO4NtqtBdVyHhA--~B/aD0xNjAwO3c9MjQwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en-US/insider_articles_922/8a6143946dc0484545a6b2593cca102b
How to Help Evacuees of the Kinkade Fire,Josh Ocampo,Lifehacker.com,"As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a…","As of Tuesday morning, the Kinkade fire in Sonoma County, California has spread over 74,000 acres, forcing an estimated 174,000 people to evacuate their homes. (49 homes have been destroyed or damaged in its path so far.) According to tweets by Susie Cagle, a… [+3000 chars]",2019-10-29,https://lifehacker.com/how-to-help-evacuees-of-the-kinkade-fire-1839438952,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/bow2iaspb6zbzyjriv4m.jpg"
"CALIFORNIA FIRE MAP: Live updates for Tick Fire, Sepulveda Basin and Castaic - KABC-TV",,Abc7.com,"CALIFORNIA FIRE MAP: Live updates for Tick Fire, Sepulveda Basin and Castaic KABC-TV High-voltage power line broke near origin of massive California fire that forced thousands of evacuations The Washington Post PG&E Power Line Failed Minutes Before a Californ…","LOS ANGELES (KABC) -- See an interactive map related to all the fires burning in Southern California, including the massive Tick Fire in the Santa Clarita area that prompted widespread mandatory evacuations and damaged homes.The map shows fire hot spots, curr… [+576 chars]",2019-10-25,https://abc7.com/california-fire-map-active-fire-reports-perimeters-for-socal-fires/5646352/,https://cdn.abcotvs.com/dip/images/5646232_tick-fire-fb.jpg?w=1600
"Fast-moving Los Angeles wildfire destroys homes, prompts evacuation orders",,Yahoo.com,"The fire broke out around 1:30 a.m. (0830 GMT) and has since grown to consume more than 500 acres (202 hectares) in the scrub-covered hills around Interstate 405, near some of the city's most expensive homes. At least five homes had burned down but there were…",,2019-10-28,https://news.yahoo.com/firefighters-brief-respite-winds-fanning-100421058.html,
PG&E Admits It Might Be the Cause of Northern California Wildfire Despite Preventative Blackouts,ROBERT JABLON and JOCELYN GECKER / AP,Time,"The utility company said its electrical equipment may have ignited a wildfire in northern CA, despite blackouts imposed to prevent blazes.","(LOS ANGELES) — California’s biggest utility admitted its electrical equipment may have ignited a wildfire burning in wine country Friday, despite blackouts imposed across the region to prevent blazes. Meanwhile, a wind-whipped fire destroyed homes near Los A… [+3379 chars]",2019-10-25,https://time.com/5710646/pge-california-wildfires/,https://timedotcom.files.wordpress.com/2019/10/sonoma-county-fire.jpg?quality=85&w=1200&h=628&crop=1
Here’s What California’s Kincade Wildfire Looks Like From Space,Jasmine Aguilera,Time,"The Bay-area's Kincade wildfire has grown so large that a satellite can record the plumes from 23,000 miles away in space.","Northern California’s Kincade wildfire has grown so large that a satellite was able to record the plumes from 22,300 miles away in space.
The fire that began on Oct. 23 has grown to burn more than 66,200 acres of Sonoma county and is so far only 5% contained… [+2262 chars]",2019-10-28,https://time.com/5712576/california-kincade-wildfire-space/,https://timedotcom.files.wordpress.com/2019/10/kincade-fire-noaa.jpg?quality=85&w=1200&h=628&crop=1
"Millions Will Be Without Power, 50,000 Ordered to Evacuate in Towns Near California Wildfire",DAISY NGUYEN and CHRISTOPHER WEBER / AP,Time,"Thousands were ordered to evacuate near a massive California wildfire, with PG&E announcing shut-offs for an estimated 2.35 million people.","(SAN FRANCISCO) — Authorities ordered at least 50,000 people to evacuate towns near a massive Northern California wildfire Saturday, and the state’s largest utility announced power shut-offs for an estimated 2.35 million people due to forecasts of severe wind… [+5791 chars]",2019-10-26,https://time.com/5711521/new-evacuations-california-wildfire/,https://timedotcom.files.wordpress.com/2019/10/california-wildfires-1.jpg?quality=85&w=1200&h=628&crop=1
WATCH: Wildfire rages across California wine country,ABC News,Goodmorningamerica.com,"Mandatory evacuations are underway as the Kincade Fire, fueled by powerful winds, burned at least 7,000 acres in under three hours.","<li>Now Playing: California power outages possible amid wildfire threats
</li><li>Now Playing: Trumps special envoy to Syria contradicts big success claim
</li><li>Now Playing: Alleged drunk driver nearly hits family in crosswalk
</li><li>Now Playing: Face… [+1286 chars]",2019-10-24,https://www.goodmorningamerica.com/news/video/wildfire-rages-california-wine-country-66494943,https://s.abcnews.com/images/GMA/191024_gma_reeve3_hpMain_16x9_992.jpg
Homes destroyed in Los Angeles-area wildfire,"AP Domestic, AP",USA Today,"Los Angeles County fire officials say more than 15,000 structures are threatened by a wind-driven wildfire burning among suburban developments north of Los Angeles. (Oct. 25)",,2019-10-25,https://www.usatoday.com/videos/news/nation/2019/10/25/homes-destroyed-los-angeles-area-wildfire/2459973001/,https://www.gannett-cdn.com/authoring/video-thumbnails/76e256e5-86a0-4865-9137-0c583c59bcd2_poster.jpg
PG&E transmission tower broke near origin of Kincade fire - paper,Reuters Editorial,Reuters,"A PG&E Corp power transmission tower broke near the origin point of the Kincade fire raging in Sonoma County, the San Francisco Chronicle newspaper said on Thursday.","(Reuters) - A PG&amp;E Corp power transmission tower broke near the origin point of the Kincade fire raging in Sonoma County, the San Francisco Chronicle newspaper said on Thursday. 
Citing a report filed with the California Public Utilities Commission, the … [+475 chars]",2019-10-24,https://www.reuters.com/article/us-california-wildfire-pg-e-us-idUSKBN1X32TO,https://s3.reutersmedia.net/resources/r/?m=02&d=20191024&t=2&i=1444670912&w=1200&r=LYNXMPEF9N25L
"Officials: 180,000 evacuated in California fire","AP Domestic, AP",USA Today,"Authorities say 180,000 people have been ordered to leave their homes as powerful winds threaten to spread a wildfire in Northern California's wine country. (Oct. 27)",,2019-10-27,https://www.usatoday.com/videos/news/nation/2019/10/27/officials-180-000-evacuated-california-fire/2480250001/,https://www.gannett-cdn.com/authoring/video-thumbnails/4e0a23e7-25f9-4711-998e-b39337727762_poster.jpg
"Sonoma Co. fire grows rapidly, forces evacuations","AP Domestic, AP",USA Today,"A wind-driven wildfire has forced evacuations north of San Francisco in Sonoma County. The blaze near Geyserville had grown to 10,000 acres. (Oct. 24)",,2019-10-24,https://www.usatoday.com/videos/news/nation/2019/10/24/sonoma-co-fire-grows-rapidly-forces-evacuations/4082969002/,https://www.gannett-cdn.com/authoring/video-thumbnails/c4a03657-a6e5-4151-bb27-08a0a68bc89b_poster.jpg
"Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained - KGO-TV",,Abc7news.com,"Kincade Fire: CAL FIRE says Sonoma County wildfire is now 75,415 acres, 15 percent contained KGO-TV Fears of More Extreme Weather as Kincade Fire Swells The New York Times Firefighters Battle Wildfires in Los Angeles VOA News Fire defenses rush to defend Cali…","SONOMA COUNTY, Calif. (KGO) -- The Kincade Fire has spread to 75,415 acres and is 15 percent contained. Of the 124 structures destroyed, Cal Fire says 57 are homes. Of the 23 structures damaged, officials say 15 are homes.Cal Fire issued an evacuation warning… [+6219 chars]",2019-10-29,https://abc7news.com/officials-say-kincade-fire-is-now-75415-acres-15-percent-contained/5655955/,"https://cdn.abcotvs.com/dip/images/5654877_102819-kgo-kincade-fire-joel-tina-chandler-in-sr-house-img_Image_00-00-33,17.jpg?w=1600"
Power outages look for millions of Calif. residents as PG&E faces scrutiny for degrading infrastructure - Washington Post,"Faiz Siddiqui, Michael Brice-Saddler",The Washington Post,"Power outages look for millions of Calif. residents as PG&E faces scrutiny for degrading infrastructure Washington Post As Kincade fire rages, Northern California faces biggest blackouts ever this weekend Los Angeles Times California wildfires: Newsom issues …",News of the outage comes after two significant fires began close to residential areas in Northern and Southern California over the past three days. A wildfire burning out of control near Los Angeles expanded rapidly overnight and jumped a highway early Friday… [+5255 chars],2019-10-26,https://www.washingtonpost.com/nation/2019/10/26/california-wildfires-power-outages-kincade-tick/,https://www.washingtonpost.com/resizer/eSlIRtJNfwxHTDXk3xAkiitwDUY=/1440x0/smart/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/T7WX55HXWII6TMWSD434TWBNXM.jpg
"Kincade Fire in Sonoma County now at 16,000 acres, 5 percent contained - KGO-TV",Amy Hollyfield,Abc7news.com,"Kincade Fire in Sonoma County now at 16,000 acres, 5 percent contained KGO-TV California wildfire forces thousands to evacuate in Sonoma County CBS Evening News High-voltage power line broke near origin of massive California fire that forced thousands of evac…","GEYSERVILLE, Calif. (KGO) -- More than 1,300 firefighters are battling the massive Kincade Fire in Sonoma County that exploded in size overnight. Firefighters say the blaze has grown 16,000 acres.So far the fire is five percent contained and 49 structures hav… [+4407 chars]",2019-10-24,https://abc7news.com/kincade-fire-now-at-16000-acres-5-percent-contained/5642810/,"https://cdn.abcotvs.com/dip/images/5644897_102419-kgo-kincade-fire-flames-img_Image_16-05-41,00.jpg?w=1600"
California wildfires continue to spread amid mass power outages - Global News,Terence Chea And Don Thompson,Globalnews.ca,"California wildfires continue to spread amid mass power outages Global News California wildfire forces 180,000 evacuations as governor declares statewide emergency CBC.ca Crews get brief respite from winds fanning wildfires in California The Globe and Mail Ki…","Firefighters battled destructive wildfires in Northern California wine country and on the west side of Los Angeles on Monday, trying to beat back flames that forced tens of thousands to flee their homes.
California’s biggest utility, Pacific Gas &amp; Electr… [+4251 chars]",2019-10-28,http://globalnews.ca/news/6090889/california-wildfires-spread/,https://shawglobalnews.files.wordpress.com/2019/10/2019-10-28t080610z_1062817413_rc13a02a80a0_rtrmadp_3_california-wildfire-1.jpg?quality=70&strip=all&w=720&h=379&crop=1
"Kincade Fire: Authorities bracing for ‘dangerous’ spread, plead for residents to evacuate - The Mercury News","Robert Salonga, Casey Tolan",Mercurynews.com,"Kincade Fire: Authorities bracing for ‘dangerous’ spread, plead for residents to evacuate The Mercury News Kincade Fire Expands Overnight; 25000 Acres Burned,10 Percent Contained CBS San Francisco California Wildfire Grows in Size; Firefighter Rescues Two Res…","SANTA ROSA — Bracing for heavy winds they fear will fan the rapidly spreading Kincade Fire, authorities passionately pleaded with residents in evacuation zones — now stretching all the way to the Sonoma County coast — to leave their homes while there’s still … [+6046 chars]",2019-10-27,http://www.mercurynews.com/kincade-fire-authorities-bracing-for-dangerous-spread-plead-for-residents-to-evacuate,https://www.mercurynews.com/wp-content/uploads/2019/10/SJM-L-SOCOANGST-1027-11-2.jpg?w=1024&h=680
"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff - Sacramento Bee",,Sacbee.com,"Live updates: California winds return, progress on Kincade Fire, PG&E starts another shutoff Sacramento Bee A wildfire is getting close to the Getty Museum. Here's why they're not moving the art CNN Climate Change Is Burning Down California. It's Time We Stop…",,2019-10-29,https://www.sacbee.com/news/california/fires/article236769888.html,
A Fast-Moving Wildfire in Sonoma County Shows No Signs of Slowing. Here’s What to Know,Hillary Leung,Time,Residents of the Northern California county were forced to evacuate as the rapidly burning Kincade Fire fanned southwards.,"A fast-moving wildfire forced the late night evacuations of residents in a northern California’s Sonoma County as intense winds fanned flames southwards and tens of thousands are without power Wednesday night into early Thursday.
The Kincade Fire exploded in… [+1955 chars]",2019-10-24,https://time.com/5709140/sonoma-county-kincade-wildfire/,https://timedotcom.files.wordpress.com/2019/10/california-blackout.jpg?quality=85&w=1200&h=628&crop=1
"People, pets evacuate from path of Calif. wildfire","AP Domestic, AP",USA Today,Hundreds of thousands of Sonoma County residents were ordered to evacuate in the face of a massive wildfire.  Many Santa Rosa residents and their pets are taking shelter at the Sonoma County Fairgrounds in Santa Rosa. (Oct. 27),,2019-10-27,https://www.usatoday.com/videos/news/nation/2019/10/27/people-pets-evacuate-path-calif-wildfire/2481091001/,https://www.gannett-cdn.com/authoring/video-thumbnails/d2b983c5-2b3d-40d5-895c-555c2ce6dded_poster.jpg
Wildfire threat sparks seed-collection projects to reforest charred hillsides,Frank Miles,Fox News,"With warmer temperatures, an increase in the frequency of drought and the severity of wildfires on the rise, many scientists say the necessity of seed collection and reforestation efforts has become more urgent.","With warmer temperatures, an increase in the frequency of drought and the severity of wildfires on the rise, many scientists say the necessity of seed collection and reforestation efforts has become more urgent.
“We’ve had so many large, high-severity fires … [+2532 chars]",2019-10-28,https://www.foxnews.com/science/wildfires-seeds-pine-cones-collected-reforest-hillsides,https://static.foxnews.com/foxnews.com/content/uploads/2019/10/Pine-Cone-Collectors-5.jpg
"180,000 evacuated as wildfire and electricity blackout hits California wine country",Nick Allen,Yahoo.com,"A total of 180,000 people have been ordered to evacuate from a huge swath of northern California's wine country as the state was hit by a destructive wildfire and the biggest electricity black out in its history. The Kinkade fire covered an area of 40 square …","Firefighters in California wine country - REUTERS
A total of 180,000 people have been ordered to evacuate from a huge swath of northern California's wine country as the state was hit by a destructive wildfire and the biggest electricity black out in its hist… [+3328 chars]",2019-10-27,https://news.yahoo.com/180-000-evacuated-wildfire-electricity-230710941.html,https://s.yimg.com/ny/api/res/1.2/ORdnHb66Rwxgu5LN__flog--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/RsQUejwrFOIgTEKvoRiOgg--~B/aD0xNTYzO3c9MjUwMTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en-GB/the_telegraph_258/c4c4af3304b65549174a03cd95417c62
"Residents flee, power cut as crews battle California fire",DON THOMPSON,Yahoo.com,"Cody Rodriguez never went to sleep the night two years ago when wildfire roared out of tinder-dry hills in Northern California wine country, trapping people unaware in their homes and forcing thousands of panicked residents to flee in the dark. ""It has brough…","PETALUMA, Calif. (AP) Cody Rodriguez never went to sleep the night two years ago when wildfire roared out of tinder-dry hills in Northern California wine country, trapping people unaware in their homes and forcing thousands of panicked residents to flee in th… [+4353 chars]",2019-10-28,https://news.yahoo.com/residents-flee-power-cut-crews-053416417.html,https://s.yimg.com/ny/api/res/1.2/y6tRH5OlxlCyClz4GLUUAQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD05OTguNA--/https://s.yimg.com/uu/api/res/1.2/LJrNzR5iK5Pm1oS6JNcOGg--~B/aD0yNjQ1O3c9MzM5MDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/99581fb3c4aebaca4c809a3604b81d2f
California wildfires: Millions warned of possible power cut,https://www.facebook.com/bbcnews,BBC News,"An electricity firm says it may have to cut power amid forecasts of a ""historic wind event"".","Media captionJets drop fire retardant on California blaze
Millions of Californians face having their power cut as firefighters continue to battle a surge in wildfires in the state.
Pacific Gas &amp; Electric (PG&amp;E) said it may have to turn off power in … [+5217 chars]",2019-10-26,https://www.bbc.co.uk/news/world-us-canada-50191237,https://ichef.bbci.co.uk/images/ic/1024x576/p07s0flx.jpg
"Fires spread out West, snow slams Colorado",Max Golembo,ABC News,Winds gusted in northern California at 70 to 76 mph and pushed the newly formed Kincade wildfire down a slope causing the fire to explode overnight and is now 5000 acres.,"Winds gusted in northern California at 70 to 76 mph and pushed the newly formed Kincade wildfire down a slope causing the fire to explode overnight and is now 5000 acres.
Interested in Weather?
Add Weather as an interest to stay up to date on the latest Wea… [+1873 chars]",2019-10-24,https://abcnews.go.com/US/fires-spread-west-snow-slams-colorado/story?id=66496068,https://s.abcnews.com/images/US/kincade-fire-california-haworth_hpMain_20191024-074217_16x9_992.jpg
Firefighters battle N. Calif. wine country blaze,"AP Domestic, AP",USA Today,"Firefighters continue to attack a massive wildfire burning in northern California wine country ahead of another major wind event. The blaze has grown to at least 103 square miles, destroying 96 buildings and threatening 80,000 more structures. (Oct. 28)",,2019-10-29,https://www.usatoday.com/videos/news/nation/2019/10/29/firefighters-battle-n-calif-wine-country-blaze/2492525001/,https://www.gannett-cdn.com/authoring/video-thumbnails/495ffe29-19bc-4a6d-a6e2-8b48d66b9807_poster.jpg
The Latest: Couple flees fire after losing home 2 years ago,Associated Press,Yahoo.com,"Mary Ceglarski-Sherwin and her husband Matt Ceglarski-Sherwin lost their rental home in the Northern California city of Santa Rosa during a series of deadly fires two years ago. Early Thursday, they and their two dogs were evacuating from their new home in th…","GEYSERVILLE, Calif. (AP) The Latest on a raging wildfire in the Northern California wine country (all times local):
7:30 a.m.
Northern California authorities have ordered the entire town of Geyserville evacuated as a wind-driven wildfire rages through the w… [+1955 chars]",2019-10-24,https://news.yahoo.com/latest-least-3-homes-destroyed-143417595.html,https://s.yimg.com/ny/api/res/1.2/md_9hhMZi..YtHoyGDk5Xw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/4wNjrwqbX6..5HgwUpMiIA--~B/aD0yMzMzO3c9MzUwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/eb75d6138366cbe1d9e2cc3ebd1a184a
The Kincade Fire Explodes in Wine Country Where a Blackout Was Scheduled,"Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo",Gizmodo.com,"On Wednesday night, the Kincade Fire exploded in Sonoma County. The blaze has burned some 10,000 acres and pushed small towns in the fire’s path to evacuate as it burns largely uncontrolled. Read more...","On Wednesday night, the Kincade Fire exploded in Sonoma County. The blaze has burned some 10,000 acres and pushed small towns in the fires path to evacuate as it burns largely uncontrolled.
The fire comes as California utility PG&amp;E began a second round o… [+2869 chars]",2019-10-24,https://earther.gizmodo.com/the-kincade-fire-explodes-in-wine-country-where-a-black-1839323422,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/vhshv0b6xkfhywqcd4wn.jpg"
"Video shows a Los Angeles fire roaring through a canyon towards homes. The fire has forced around 50,000 people to evacuate.","feedback@businessinsider.com (Rosie Perper), Rosie Perper",Insider.com,"Screenshot/Caleb Lunetta Striking video posted on social media shows a major wildfire currently burning in the canyons of Southern California. The fire, referred to as the Tick fire, has burned 3,950 acres as of 9:00 p.m. local time, and has forced about 50,0…","A striking video posted on social media shows a wall of fire burning in the canyons of Southern California.
The Tick Fire in Santa Clarita, which began on Thursday, is one of the many wildfires currently burning across California.
The video, captured by rep… [+1260 chars]",2019-10-25,https://www.insider.com/video-photos-tick-fire-southern-california-evacuations-2019-10,https://image.businessinsider.com/5db27be9e94e860fda350587?width=1200&format=jpeg
California utility admits it may have ignited fire,ROBERT JABLON and JOCELYN GECKER,Yahoo.com,"California's biggest utility admitted its electrical equipment may have ignited a wildfire burning in wine country Friday, despite blackouts imposed across the region to prevent blazes. Meanwhile, a wind-whipped fire destroyed homes near Los Angeles. More tha…","LOS ANGELES (AP) California's biggest utility admitted its electrical equipment may have ignited a wildfire burning in wine country Friday, despite blackouts imposed across the region to prevent blazes. Meanwhile, a wind-whipped fire destroyed homes near Los … [+3349 chars]",2019-10-25,https://news.yahoo.com/punishing-winds-whipped-california-fires-055147838.html,https://s.yimg.com/ny/api/res/1.2/buvODp7Y0wN0LsMmsTeZ7Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD03ODUuMDY2NjY2NjY2NjY2Nw--/https://s.yimg.com/uu/api/res/1.2/7CLEDkMcfYEq0mL3QSPzEQ--~B/aD00MjExO3c9Njg2MztzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/005dc78043c4d1913a93d05e590877db
2.35 Million Lose Power In California As State Faces Extreme Weather and Wildfires,EditorDavid,Slashdot.org,"California's largest power utility began power shut-offs today for an estimated 2.35 million people -- expected to last two days -- after weather forecasts predicted extreme fire danger due to exceptionally dry weather and severe winds, according to the Washi…","California's largest power utility began power shut-offs today for an estimated 2.35 million people -- expected to last two days -- after weather forecasts predicted extreme fire danger due to exceptionally dry weather and severe winds, according to the Washi… [+1063 chars]",2019-10-27,https://news.slashdot.org/story/19/10/27/0251234/235-million-lose-power-in-california-as-state-faces-extreme-weather-and-wildfires,https://a.fsdn.com/sd/topics/earth_64.png
Northern California fire explodes overnight,Mark Kaufman,Mashable,"All it takes is a spark. California's notoriously high, dry, and hot fall winds are sweeping through both northern and southern parts of the state. Right on cue, the Kincade Fire exploded in California's wine country, Sonoma County, Wednesday night. Some 9 ho…","All it takes is a spark.
California's notoriously high, dry, and hot fall winds are sweeping through both northern and southern parts of the state. Right on cue, the Kincade Fire exploded in California's wine country, Sonoma County, Wednesday night. Some 9 h… [+2710 chars]",2019-10-24,https://mashable.com/article/california-kincade-fire/,https://mondrian.mashable.com/2019%252F10%252F24%252F9d%252F064a8b608c5e49f4affdce2f3883ee7f.409da.jpg%252F1200x630.jpg?signature=Kr3UH12tlI-NTOGc0z7LHJ_RW5A=
